"State","Mean_MedIncome","Median_MedIncome","Variance_MedIncome","Std_Dev_MedIncome","Mean_PovertyEst","Median_PovertyEst","Variance_PovertyEst","Std_Dev_PovertyEst","Mean_IncidenceRate","Median_IncidenceRate","Variance_IncidenceRate","Std_Dev_IncidenceRate"
"KY",39687.2166666667,39524,104773596.187955,10235.8974295347,6773.34166666667,4053,160776267.386485,12679.7581753945,512.74,516.3,1630.52578151261,40.3797694583885
"LA",41705.953125,40524,80443245.7279266,8969.01587287739,14045.3125,6629.5,369244490.472222,19215.735491316,483.828125,485.1,1217.11221230159,34.8871353410048
"MA",65328.6428571429,62704.5,173369241.17033,13166.9753994731,54300.8571428571,43061.5,2409368737.67033,49085.3209999724,482.807142857143,491.65,1726.22840659341,41.5479049603395
"MD",67269.9166666667,64982,414936369.123188,20369.9869691463,25198.375,10875.5,1214327678.07065,34847.2047382663,459.6,459.35,1413.5652173913,37.5974097165124
"ME",45569.875,45681.5,53365657.9833333,7305.18021566432,11358.5,7783.5,73646484.6666667,8581.75300662206,475.8625,478.3,443.873166666667,21.0682976689306
"MI",44945.7710843373,43186,65124262.7640317,8069.960518121,18885.1325301205,6280,2501679316.57978,50016.7903466404,433.30843373494,431.5,3120.19004995592,55.8586613691728
"MN",54521.4942528736,51597,103031957.71799,10150.4658867458,6987.01149425287,2434,366533732.918471,19145.0707211666,453.55,453.55,0,0
"MO",41522.6347826087,40267,69362767.3566743,8328.43126625142,7899.07826086957,3558,271550616.563997,16478.7929340713,435.426086956522,438.4,2615.87001525553,51.1455766929608
"MS",35659.4756097561,34671,52827721.1413731,7268.26809779146,7743.42682926829,5175.5,61162046.0995182,7820.61673396147,466.587804878049,465.5,2138.50923215899,46.2440183392294
"MT",44305.0961538462,43037,51700347.6180241,7190.29537766176,2911.09615384615,1106,18950063.3435143,4353.16704750855,452.561538461538,450.75,2822.26594268477,53.1250029899742
"NC",42129.54,41546.5,62558442.170101,7909.38949414561,16639.49,9791,485203124.454444,22027.3267659615,458.518,457.7,1030.90815757576,32.1077585261843
"ND",54841.2941176471,53721,121452554.411765,11020.5514567904,1550.23529411765,448,9542609.70352941,3089.11147476575,429.966666666667,436,4290.07826666667,65.4986890454051
"NE",50043.8875,49643.5,47160412.1264241,6867.34389166758,2796.9875,800,87056152.6454114,9330.3886652921,427.53375,428.5,2374.1964414557,48.7257266898678
"NH",60127.3,58066.5,96683914.4555556,9832.79789559185,11782,9025.5,85317299.3333333,9236.73640055476,486.14,485.8,638.527111111111,25.2690939907055
"NJ",72135.2857142857,71294,284913981.914286,16879.3951880476,46306.7142857143,40761,1283221880.01429,35822.0864832618,494.747619047619,496.3,1435.84761904762,37.8925799998841
"NM",40628.40625,36920,225385778.11996,15012.8537633576,13134.03125,6632.5,541387083.644153,23267.7262241963,382.4875,375.5,2040.59209677419,45.1729133084661
"NV",54786.5882352941,52001,114824715.257353,10715.6294848858,25320.3529411765,1819,5975804941.99265,77303.3307302644,453.55,453.55,0,0
"NY",54317.5806451613,49864.5,168464442.54257,12979.3852913984,49719.5806451613,12295.5,11459374686.8704,107048.468867473,498.285483870968,501.75,694.331097303014,26.3501631361746
"OH",48443.2727272727,46759,90307701.0971787,9503.03641459816,20207.8068181818,7979,1474201173.468,38395.3274952565,450.773863636364,456.6,1051.74310214211,32.4305889885169
"OK",43818.7792207792,41806,68072613.3848257,8250.61290964651,8093.02597402597,4000,335359256.973001,18312.8167405509,440.032467532468,445.9,1415.65985304169,37.6252555212811
"OR",45943.3333333333,44569,63907668.9142857,7994.22722433418,17698.8888888889,6818,768226443.530159,27716.898158527,445.691666666667,445.7,1920.21735714286,43.8202847679343
"PA",50093.223880597,47360,88324991.6309362,9398.13766822641,25059.8507462687,12401,2582848432.49254,50821.7318919037,481.349253731343,482.8,840.417082767978,28.989947960767
"RI",63471,68246,93149189.5,9651.38277657663,29964.8,12453,2064273841.7,45434.2804686065,479.92,473.3,125.657,11.2096833139924
"SC",40297.3913043478,38912.5,60020836.3768116,7747.31155800589,18218.8260869565,11901,292652295.34686,17107.0831922587,450.291304347826,458.75,922.31058937198,30.3695668288499
"SD",48570.8813559322,48773,88398019.0718878,9402.02207356948,1794.5593220339,849,10472060.905903,3236.05638175588,437.454237288136,429.4,3365.0070075979,58.008680450411
"TN",40645.4736842105,38595,81461447.3370661,9025.59955554566,12265.7684210526,5779,690492002.775588,26277.21451706,470.838947368421,469.4,981.039211646137,31.3215454862326
"TX",46697.2541666667,43820,115371195.043916,10741.0984095629,18822.8291666667,3162.5,4774070828.36818,69094.6512283562,400.910833333333,411.25,2708.22431729428,52.0406025838891
"UT",56058.9259259259,52623,150347533.609687,12261.628505614,12637.962962963,2656,742774886.11396,27253.8967143042,396.811111111111,399,1820.64487179487,42.6690153600346
"VA",53036.808,46551,351722581.26929,18754.2683480132,7496.28,3791,118878423.041935,10903.1382198858,445.6864,436.4,7197.05521677419,84.8354596661926
"VT",51034.3571428571,50564.5,64074392.4010989,8004.64817472317,5163.85714285714,4300,14684472.5934066,3832.03243637193,471.785714285714,465.5,754.35978021978,27.4656108655857
"WA",50873.3846153846,49955,68863219.5060729,8298.38656041479,23422.1282051282,9427,1709395863.85155,41344.8408371776,437.366666666667,449.9,2779.37228070175,52.7197522822495
"WI",50888.6666666667,50254.5,73600872.3380282,8579.09507687309,10240.3888888889,4333.5,635639068.550861,25211.8834788451,444.629166666667,452.45,2370.04491197183,48.6831070492818
"WV",39391.8,38387,49245522.9037037,7017.51543665589,5976.96363636364,4817,32599367.9245791,5709.585617589,460.869090909091,463.1,3122.47217508417,55.8790853100172
"WY",57193.6956521739,55520,111278450.675889,10548.860160031,2776.52173913043,1751,7781593.53359684,2789.55077630733,410.086956521739,412.7,1792.67754940711,42.3400230208619
